 ETA_AV=  0.305066556
   0.0000      2.008534  1.975176
   0.0200      1.782404  1.752802
   0.0400      1.850104  1.819377
   0.0600      1.576416  1.550235
   0.0800      1.687252  1.659230
   0.1000      1.509542  1.484472
   0.1200      1.397041  1.373839
   0.1400      1.466930  1.442568
   0.1600      1.483450  1.458813
   0.1800      1.541011  1.515418
   0.2000      1.273190  1.252045
   0.2200      1.321995  1.300040
   0.2400      1.243418  1.222767
   0.2600      1.253530  1.232711
   0.2800      1.198920  1.179009
   0.3000      1.090549  1.072437
   0.3200      0.995661  0.979125
   0.3400      1.106373  1.087998
   0.3600      0.940276  0.924660
   0.3800      0.936628  0.921072
   0.4000      0.916418  0.901198
   0.4200      0.852168  0.838015
   0.4400      0.982856  0.966533
   0.4600      1.013297  0.996468
   0.4800      1.034554  1.017372
   0.5000      0.965384  0.949351
   0.5200      0.891600  0.876792
   0.5400      0.813575  0.800063
   0.5600      0.892069  0.877254
   0.5800      1.074635  1.056788
   0.6000      0.921031  0.905734
   0.6200      1.019000  1.002076
   0.6400      0.972488  0.956337
   0.6600      0.839599  0.825655
   0.6800      0.939828  0.924219
   0.7000      0.910398  0.895278
   0.7200      0.866126  0.851741
   0.7400      0.897874  0.882962
   0.7600      0.886917  0.872187
   0.7800      0.873647  0.859138
   0.8000      0.945128  0.929431
   0.8200      1.055783  1.038249
   0.8400      1.065872  1.048170
   0.8600      1.178771  1.159194
   0.8800      1.048813  1.031395
   0.9000      1.097077  1.078857
   0.9200      1.147199  1.128146
   0.9400      1.091194  1.073071
   0.9600      1.122171  1.103534
   0.9800      1.147196  1.128144
   1.0000      1.076611  1.058730
   1.0200      1.073984  1.056148
   1.0400      1.199044  1.179131
   1.0600      1.099856  1.081589
   1.0800      1.069658  1.051893
   1.1000      1.017629  1.000728
   1.1200      1.010253  0.993475
   1.1400      1.022842  1.005855
   1.1600      1.003420  0.986756
   1.1800      1.009745  0.992975
   1.2000      1.001584  0.984950
   1.2200      0.970399  0.954282
   1.2400      0.963274  0.947276
   1.2600      1.043068  1.025745
   1.2800      0.999231  0.982636
   1.3000      1.092284  1.074143
   1.3200      0.993635  0.977133
   1.3400      0.978344  0.962095
   1.3600      0.986191  0.969812
   1.3800      0.967618  0.951548
   1.4000      0.940692  0.925069
   1.4200      0.932554  0.917066
   1.4400      0.923002  0.907673
   1.4600      0.958781  0.942857
   1.4800      0.976399  0.960183
   1.5000      0.960356  0.944407
   1.5200      0.956192  0.940312
   1.5400      0.945788  0.930080
   1.5600      0.955893  0.940018
   1.5800      0.961970  0.945993
   1.6000      0.959878  0.943936
   1.6200      0.979512  0.963245
   1.6400      0.969994  0.953885
   1.6600      0.969839  0.953732
   1.6800      0.978209  0.961963
   1.7000      0.971859  0.955719
   1.7200      0.970596  0.954477
   1.7400      0.985060  0.968701
   1.7600      1.003794  0.987123
   1.7800      0.991177  0.974716
   1.8000      0.988142  0.971731
   1.8200      0.992650  0.976164
   1.8400      1.001957  0.985317
   1.8600      0.998374  0.981793
   1.8800      0.999280  0.982684
   1.9000      0.992699  0.976212
   1.9200      1.009327  0.992564
   1.9400      1.007063  0.990338
   1.9600      1.045356  1.027995
   1.9800      1.036684  1.019467
   2.0000      1.029130  1.012038
   2.0200      1.051871  1.034402
   2.0400      1.044579  1.027231
   2.0600      1.020420  1.003473
   2.0800      1.013365  0.996535
   2.1000      1.006759  0.990039
   2.1200      1.016485  0.999603
