 ETA_AV=  0.081201829
   0.0000      0.296770  0.365472
   0.0200      0.304345  0.374800
   0.0400      0.312744  0.385144
   0.0600      0.322781  0.397505
   0.0800      0.332986  0.410072
   0.1000      0.340619  0.419472
   0.1200      0.350746  0.431943
   0.1400      0.360588  0.444063
   0.1600      0.372278  0.458460
   0.1800      0.384272  0.473231
   0.2000      0.393692  0.484832
   0.2200      0.404116  0.497668
   0.2400      0.414421  0.510359
   0.2600      0.423877  0.522004
   0.2800      0.435883  0.536790
   0.3000      0.441604  0.543835
   0.3200      0.450292  0.554534
   0.3400      0.463812  0.571184
   0.3600      0.472935  0.582419
   0.3800      0.486487  0.599109
   0.4000      0.494933  0.609510
   0.4200      0.501568  0.617680
   0.4400      0.514655  0.633798
   0.4600      0.520109  0.640513
   0.4800      0.528430  0.650761
   0.5000      0.540606  0.665756
   0.5200      0.553110  0.681154
   0.5400      0.558452  0.687733
   0.5600      0.571141  0.703360
   0.5800      0.581015  0.715520
   0.6000      0.589407  0.725854
   0.6200      0.600389  0.739379
   0.6400      0.613448  0.755460
   0.6600      0.620402  0.764024
   0.6800      0.631740  0.777987
   0.7000      0.645518  0.794954
   0.7200      0.652601  0.803677
   0.7400      0.661957  0.815199
   0.7600      0.675639  0.832049
   0.7800      0.685141  0.843751
   0.8000      0.693276  0.853769
   0.8200      0.709762  0.874072
   0.8400      0.719975  0.886649
   0.8600      0.727815  0.896303
   0.8800      0.743335  0.915417
   0.9000      0.756647  0.931810
   0.9200      0.763794  0.940612
   0.9400      0.776388  0.956121
   0.9600      0.790971  0.974080
   0.9800      0.788067  0.970504
   1.0000      0.789388  0.972131
   1.0200      0.796899  0.981380
   1.0400      0.798433  0.983269
   1.0600      0.801196  0.986672
   1.0800      0.799884  0.985057
   1.1000      0.802537  0.988324
   1.1200      0.806137  0.992758
   1.1400      0.810863  0.998577
   1.1600      0.812671  1.000804
   1.1800      0.813296  1.001573
   1.2000      0.811775  0.999701
   1.2200      0.810869  0.998585
   1.2400      0.813240  1.001504
   1.2600      0.814419  1.002956
   1.2800      0.817899  1.007243
   1.3000      0.819336  1.009012
   1.3200      0.821015  1.011080
   1.3400      0.819936  1.009751
   1.3600      0.823066  1.013605
   1.3800      0.824259  1.015074
   1.4000      0.825684  1.016829
   1.4200      0.827175  1.018665
   1.4400      0.828445  1.020230
   1.4600      0.828642  1.020472
   1.4800      0.829911  1.022035
   1.5000      0.832935  1.025759
   1.5200      0.832850  1.025655
   1.5400      0.833793  1.026816
   1.5600      0.834224  1.027347
   1.5800      0.834258  1.027388
   1.6000      0.832970  1.025802
   1.6200      0.835047  1.028360
   1.6400      0.836367  1.029985
   1.6600      0.839329  1.033633
   1.6800      0.839958  1.034407
   1.7000      0.841506  1.036314
   1.7200      0.842432  1.037455
   1.7400      0.842095  1.037039
   1.7600      0.842819  1.037931
   1.7800      0.845456  1.041179
   1.8000      0.845506  1.041240
