 ETA_AV=  0.19969891
   0.0000      0.877419  0.878742
   0.0200      0.891514  0.892858
   0.0400      0.903613  0.904976
   0.0600      0.900429  0.901786
   0.0800      0.918344  0.919728
   0.1000      0.903600  0.904962
   0.1200      0.904374  0.905738
   0.1400      0.910043  0.911415
   0.1600      0.935503  0.936913
   0.1800      0.948952  0.950382
   0.2000      0.921148  0.922537
   0.2200      0.932742  0.934148
   0.2400      0.953576  0.955014
   0.2600      0.929090  0.930491
   0.2800      0.951463  0.952897
   0.3000      0.933834  0.935242
   0.3200      0.925855  0.927251
   0.3400      0.953580  0.955018
   0.3600      0.924802  0.926197
   0.3800      0.945340  0.946765
   0.4000      0.945567  0.946993
   0.4200      0.924407  0.925801
   0.4400      0.955061  0.956501
   0.4600      0.948341  0.949770
   0.4800      0.953149  0.954586
   0.5000      0.973128  0.974595
   0.5200      0.971113  0.972577
   0.5400      0.943065  0.944487
   0.5600      0.963518  0.964971
   0.5800      0.977301  0.978775
   0.6000      0.954311  0.955750
   0.6200      0.969049  0.970510
   0.6400      0.991639  0.993134
   0.6600      0.967466  0.968924
   0.6800      0.977058  0.978531
   0.7000      0.996959  0.998462
   0.7200      0.984213  0.985697
   0.7400      1.000241  1.001749
   0.7600      1.017810  1.019344
   0.7800      1.026617  1.028165
   0.8000      1.018420  1.019955
   0.8200      1.040657  1.042226
   0.8400      1.051912  1.053498
   0.8600      1.055894  1.057485
   0.8800      1.074286  1.075906
   0.9000      1.088507  1.090148
   0.9200      1.092389  1.094036
   0.9400      1.114390  1.116070
   0.9600      1.133511  1.135220
   0.9800      1.117855  1.119540
   1.0000      1.106493  1.108162
   1.0200      1.097536  1.099191
   1.0400      1.092087  1.093733
   1.0600      1.083592  1.085226
   1.0800      1.072898  1.074516
   1.1000      1.060900  1.062500
   1.1200      1.052822  1.054410
   1.1400      1.047703  1.049283
   1.1600      1.038518  1.040084
   1.1800      1.035625  1.037187
   1.2000      1.029045  1.030597
   1.2200      1.021519  1.023059
   1.2400      1.019114  1.020650
   1.2600      1.016943  1.018477
   1.2800      1.012438  1.013964
   1.3000      1.011376  1.012901
   1.3200      1.007797  1.009316
   1.3400      1.006438  1.007956
   1.3600      1.002406  1.003917
   1.3800      0.999300  1.000806
   1.4000      0.995951  0.997453
   1.4200      0.991724  0.993219
   1.4400      0.989268  0.990759
   1.4600      0.990421  0.991914
   1.4800      0.990707  0.992201
   1.5000      0.987957  0.989446
   1.5200      0.984731  0.986216
   1.5400      0.984556  0.986041
   1.5600      0.986681  0.988168
   1.5800      0.986924  0.988412
   1.6000      0.989299  0.990791
   1.6200      0.990747  0.992241
   1.6400      0.990794  0.992287
   1.6600      0.989750  0.991242
   1.6800      0.989423  0.990915
   1.7000      0.988446  0.989936
   1.7200      0.990938  0.992432
   1.7400      0.992876  0.994373
   1.7600      0.992764  0.994261
   1.7800      0.992774  0.994271
   1.8000      0.994220  0.995719
   1.8200      0.994662  0.996162
   1.8400      0.998225  0.999730
   1.8600      0.999464  1.000971
   1.8800      0.998307  0.999812
   1.9000      0.998250  0.999755
   1.9200      0.997294  0.998798
   1.9400      0.998177  0.999682
   1.9600      1.000281  1.001789
   1.9800      1.003031  1.004543
   2.0000      1.002254  1.003765
   2.0200      1.003559  1.005072
   2.0400      1.002963  1.004476
   2.0600      1.003077  1.004589
   2.0800      1.002252  1.003763
   2.1000      1.000212  1.001720
   2.1200      1.000560  1.002069
   2.1400      0.999419  1.000926
   2.1600      0.998589  1.000095
   2.1800      0.997957  0.999461
   2.2000      0.998111  0.999616
   2.2200      0.998371  0.999876
   2.2400      0.999581  1.001088
   2.2600      0.998475  0.999980
   2.2800      0.998367  0.999872
   2.3000      0.998423  0.999929
   2.3200      0.998487  0.999992
   2.3400      0.998421  0.999926
   2.3600      0.999469  1.000976
   2.3800      0.999075  1.000581
   2.4000      0.998384  0.999889
   2.4200      0.999142  1.000648
   2.4400      0.999196  1.000703
   2.4600      0.999323  1.000830
   2.4800      0.998714  1.000220
   2.5000      0.999346  1.000853
   2.5200      0.999717  1.001224
   2.5400      1.000038  1.001546
   2.5600      1.000469  1.001977
   2.5800      1.000004  1.001512
   2.6000      1.000034  1.001542
   2.6200      1.001166  1.002676
   2.6400      1.001055  1.002564
   2.6600      1.001182  1.002692
   2.6800      1.000684  1.002192
   2.7000      1.000477  1.001985
   2.7200      1.001523  1.003034
   2.7400      1.000781  1.002289
   2.7600      1.000139  1.001646
   2.7800      1.001054  1.002564
   2.8000      1.000817  1.002326
   2.8200      1.000859  1.002368
