 ETA_AV=  0.0929263681
   0.0000      0.317685  0.341867
   0.0100      0.324011  0.348675
   0.0200      0.329444  0.354522
   0.0300      0.335862  0.361428
   0.0400      0.342386  0.368449
   0.0500      0.347378  0.373821
   0.0600      0.354296  0.381265
   0.0700      0.359428  0.386788
   0.0800      0.366961  0.394895
   0.0900      0.372595  0.400958
   0.1000      0.377976  0.406748
   0.1100      0.384499  0.413768
   0.1200      0.390955  0.420715
   0.1300      0.395137  0.425215
   0.1400      0.402664  0.433315
   0.1500      0.407827  0.438871
   0.1600      0.415492  0.447120
   0.1700      0.422081  0.454211
   0.1800      0.426224  0.458668
   0.1900      0.434765  0.467859
   0.2000      0.440950  0.474515
   0.2100      0.445776  0.479709
   0.2200      0.453597  0.488125
   0.2300      0.459478  0.494454
   0.2400      0.465737  0.501190
   0.2500      0.472598  0.508573
   0.2600      0.478551  0.514979
   0.2700      0.483344  0.520136
   0.2800      0.491955  0.529404
   0.2900      0.498675  0.536634
   0.3000      0.504170  0.542548
   0.3100      0.510122  0.548953
   0.3200      0.518446  0.557911
   0.3300      0.523067  0.562883
   0.3400      0.530174  0.570531
   0.3500      0.539205  0.580249
   0.3600      0.542567  0.583868
   0.3700      0.548764  0.590536
   0.3800      0.557071  0.599476
   0.3900      0.564325  0.607282
   0.4000      0.569293  0.612628
   0.4100      0.576718  0.620618
   0.4200      0.584708  0.629217
   0.4300      0.588972  0.633805
   0.4400      0.597139  0.642594
   0.4500      0.604378  0.650384
   0.4600      0.609246  0.655622
   0.4700      0.615660  0.662525
   0.4800      0.624476  0.672012
   0.4900      0.627535  0.675304
   0.5000      0.634479  0.682776
   0.5100      0.641783  0.690636
   0.5200      0.647873  0.697190
   0.5300      0.652756  0.702444
   0.5400      0.657075  0.707092
   0.5500      0.664088  0.714638
   0.5600      0.670546  0.721588
   0.5700      0.680878  0.732707
   0.5800      0.687467  0.739798
   0.5900      0.694773  0.747660
   0.6000      0.697866  0.750989
   0.6100      0.704787  0.758436
   0.6200      0.710916  0.765032
   0.6300      0.717255  0.771853
   0.6400      0.725393  0.780611
   0.6500      0.734198  0.790085
   0.6600      0.741468  0.797909
   0.6700      0.745742  0.802508
   0.6800      0.752443  0.809720
   0.6900      0.759753  0.817586
   0.7000      0.769590  0.828171
   0.7100      0.776367  0.835465
   0.7200      0.784429  0.844140
   0.7300      0.787734  0.847697
   0.7400      0.795070  0.855591
   0.7500      0.801264  0.862257
   0.7600      0.809661  0.871293
   0.7700      0.816889  0.879071
   0.7800      0.824404  0.887159
   0.7900      0.830984  0.894240
   0.8000      0.834038  0.897526
   0.8100      0.842198  0.906307
   0.8200      0.848842  0.913456
   0.8300      0.859729  0.925173
   0.8400      0.867799  0.933857
   0.8500      0.874645  0.941224
   0.8600      0.879864  0.946840
   0.8700      0.888620  0.956262
   0.8800      0.896671  0.964926
   0.8900      0.905327  0.974242
   0.9000      0.912949  0.982444
   0.9100      0.920169  0.990213
   0.9200      0.924211  0.994563
   0.9300      0.932333  1.003303
   0.9400      0.940497  1.012088
   0.9500      0.949047  1.021289
   0.9600      0.957045  1.029896
   0.9700      0.964848  1.038293
   0.9800      0.972251  1.046260
   0.9900      0.970871  1.044774
   1.0000      0.970814  1.044714
   1.0100      0.971585  1.045543
   1.0200      0.974625  1.048815
   1.0300      0.976203  1.050513
   1.0400      0.977714  1.052139
   1.0500      0.979589  1.054156
   1.0600      0.981435  1.056142
   1.0700      0.982955  1.057779
   1.0800      0.980425  1.055055
   1.0900      0.981234  1.055927
   1.1000      0.982887  1.057705
   1.1100      0.984306  1.059233
   1.1200      0.985214  1.060210
   1.1300      0.986113  1.061177
   1.1400      0.987010  1.062142
   1.1500      0.988484  1.063728
   1.1600      0.989104  1.064395
   1.1700      0.989675  1.065010
   1.1800      0.990896  1.066324
   1.1900      0.991667  1.067153
   1.2000      0.992330  1.067867
   1.2100      0.990212  1.065588
   1.2200      0.991578  1.067057
   1.2300      0.991983  1.067494
   1.2400      0.992732  1.068300
   1.2500      0.993527  1.069155
   1.2600      0.993459  1.069082
   1.2700      0.993765  1.069411
   1.2800      0.995138  1.070889
   1.2900      0.995954  1.071767
   1.3000      0.995934  1.071745
   1.3100      0.997058  1.072954
   1.3200      0.997747  1.073697
   1.3300      0.998583  1.074596
   1.3400      0.996663  1.072530
   1.3500      0.998332  1.074326
   1.3600      0.998224  1.074210
   1.3700      0.998811  1.074842
   1.3800      0.999953  1.076071
   1.3900      1.000857  1.077043
   1.4000      1.001749  1.078003
   1.4100      1.001624  1.077869
   1.4200      1.001733  1.077985
   1.4300      1.001814  1.078072
   1.4400      1.002372  1.078673
   1.4500      1.002676  1.079001
   1.4600      1.002701  1.079028
   1.4700      1.001960  1.078230
   1.4800      1.002754  1.079085
   1.4900      1.003276  1.079646
   1.5000      1.003787  1.080196
   1.5100      1.003893  1.080310
   1.5200      1.004560  1.081028
   1.5300      1.004938  1.081435
   1.5400      1.005041  1.081546
   1.5500      1.005809  1.082372
   1.5600      1.005815  1.082378
   1.5700      1.005971  1.082546
   1.5800      1.006274  1.082873
   1.5900      1.006760  1.083396
   1.6000      1.006334  1.082937
   1.6100      1.007486  1.084176
   1.6200      1.007727  1.084436
   1.6300      1.008410  1.085171
   1.6400      1.009400  1.086237
   1.6500      1.009614  1.086467
   1.6600      1.010128  1.087020
   1.6700      1.011197  1.088171
   1.6800      1.011404  1.088392
   1.6900      1.011116  1.088083
   1.7000      1.011271  1.088250
   1.7100      1.010958  1.087913
   1.7200      1.010935  1.087888
   1.7300      1.011139  1.088107
   1.7400      1.011347  1.088331
   1.7500      1.011094  1.088060
   1.7600      1.011423  1.088413
   1.7700      1.011850  1.088872
   1.7800      1.012479  1.089550
   1.7900      1.013126  1.090245
   1.8000      1.012676  1.089762
   1.8100      1.012700  1.089787
   1.8200      1.012701  1.089789
   1.8300      1.012632  1.089715
   1.8400      1.012209  1.089260
   1.8500      1.011855  1.088878
   1.8600      1.011419  1.088409
   1.8700      1.011951  1.088982
   1.8800      1.011859  1.088883
   1.8900      1.011585  1.088588
   1.9000      1.011230  1.088206
   1.9100      1.011101  1.088066
   1.9200      1.011153  1.088122
   1.9300      1.011288  1.088268
   1.9400      1.011350  1.088335
   1.9500      1.011344  1.088328
   1.9600      1.010903  1.087853
   1.9700      1.010742  1.087681
   1.9800      1.010901  1.087851
   1.9900      1.010669  1.087601
   2.0000      1.010335  1.087242
   2.0100      1.010188  1.087085
   2.0200      1.009768  1.086632
   2.0300      1.010178  1.087074
   2.0400      1.009861  1.086732
   2.0500      1.009626  1.086480
   2.0600      1.009447  1.086287
   2.0700      1.008692  1.085475
   2.0800      1.008462  1.085227
   2.0900      1.007963  1.084690
   2.1000      1.008262  1.085012
   2.1100      1.007432  1.084118
   2.1200      1.007077  1.083736
   2.1300      1.007198  1.083867
   2.1400      1.006893  1.083538
   2.1500      1.006553  1.083173
   2.1600      1.006255  1.082852
   2.1700      1.006196  1.082788
   2.1800      1.006167  1.082758
   2.1900      1.005873  1.082441
   2.2000      1.005886  1.082455
   2.2100      1.005546  1.082089
