 ETA_AV=  0.105777204
   0.0000      0.764387  0.756745
   0.0200      0.810913  0.802806
   0.0400      0.851910  0.843394
   0.0600      0.890355  0.881455
   0.0800      0.939417  0.930026
   0.1000      0.956720  0.947155
   0.1200      0.984033  0.974196
   0.1400      1.011125  1.001017
   0.1600      1.052712  1.042188
   0.1800      1.081497  1.070685
   0.2000      1.093423  1.082492
   0.2200      1.118563  1.107381
   0.2400      1.160004  1.148407
   0.2600      1.172982  1.161255
   0.2800      1.214294  1.202155
   0.3000      1.232992  1.220666
   0.3200      1.268202  1.255524
   0.3400      1.326459  1.313199
   0.3600      1.368495  1.354814
   0.3800      1.376489  1.362728
   0.4000      1.370226  1.356528
   0.4200      1.351662  1.338150
   0.4400      1.336542  1.323181
   0.4600      1.293988  1.281052
   0.4800      1.265137  1.252489
   0.5000      1.251527  1.239015
   0.5200      1.226084  1.213826
   0.5400      1.188013  1.176137
   0.5600      1.172903  1.161178
   0.5800      1.152854  1.141329
   0.6000      1.121582  1.110370
   0.6200      1.107012  1.095945
   0.6400      1.097527  1.086555
   0.6600      1.072467  1.061746
   0.6800      1.063345  1.052715
   0.7000      1.058387  1.047807
   0.7200      1.041433  1.031022
   0.7400      1.035476  1.025124
   0.7600      1.028963  1.018677
   0.7800      1.013578  1.003445
   0.8000      0.996847  0.986881
   0.8200      0.987105  0.977237
   0.8400      0.976530  0.966768
   0.8600      0.965670  0.956017
   0.8800      0.958897  0.949311
   0.9000      0.952722  0.943198
   0.9200      0.947030  0.937563
   0.9400      0.943682  0.934249
   0.9600      0.940062  0.930664
   0.9800      0.940050  0.930653
   1.0000      0.938967  0.929580
   1.0200      0.937313  0.927943
   1.0400      0.937508  0.928136
   1.0600      0.938356  0.928975
   1.0800      0.943501  0.934069
   1.1000      0.945110  0.935662
   1.1200      0.947121  0.937653
   1.1400      0.948121  0.938643
   1.1600      0.951010  0.941503
   1.1800      0.953629  0.944096
   1.2000      0.960327  0.950727
   1.2200      0.963002  0.953375
   1.2400      0.965770  0.956116
   1.2600      0.968787  0.959102
   1.2800      0.970498  0.960796
   1.3000      0.973997  0.964260
   1.3200      0.977635  0.967862
   1.3400      0.983883  0.974047
   1.3600      0.986823  0.976958
   1.3800      0.989654  0.979760
   1.4000      0.991592  0.981679
   1.4200      0.994330  0.984390
   1.4400      0.997004  0.987037
   1.4600      1.000333  0.990333
   1.4800      1.002299  0.992280
   1.5000      1.004055  0.994017
   1.5200      1.005497  0.995445
   1.5400      1.007024  0.996957
   1.5600      1.008345  0.998265
   1.5800      1.009498  0.999407
   1.6000      1.010168  1.000069
   1.6200      1.010832  1.000727
   1.6400      1.011383  1.001273
   1.6600      1.012062  1.001945
   1.6800      1.012363  1.002243
   1.7000      1.012529  1.002407
   1.7200      1.011897  1.001781
   1.7400      1.011806  1.001691
   1.7600      1.011568  1.001456
   1.7800      1.011620  1.001507
   1.8000      1.011209  1.001100
   1.8200      1.010703  1.000600
   1.8400      1.009327  0.999237
   1.8600      1.008742  0.998657
   1.8800      1.008119  0.998041
   1.9000      1.007460  0.997389
   1.9200      1.007122  0.997054
   1.9400      1.006415  0.996354
   1.9600      1.005694  0.995640
   1.9800      1.004464  0.994423
   2.0000      1.003831  0.993795
   2.0200      1.003208  0.993179
   2.0400      1.002808  0.992783
   2.0600      1.002209  0.992190
   2.0800      1.001635  0.991622
   2.1000      1.001086  0.991079
   2.1200      1.000567  0.990564
   2.1400      1.000092  0.990094
   2.1600      0.999476  0.989485
   2.1800      0.999124  0.989136
   2.2000      0.998819  0.988833
   2.2200      0.998550  0.988568
   2.2400      0.998317  0.988337
   2.2600      0.998128  0.988150
   2.2800      0.997965  0.987989
   2.3000      0.997798  0.987823
   2.3200      0.997693  0.987720
   2.3400      0.997619  0.987646
   2.3600      0.997575  0.987603
   2.3800      0.997560  0.987587
   2.4000      0.997578  0.987605
   2.4200      0.997767  0.987792
   2.4400      0.997829  0.987854
   2.4600      0.997908  0.987932
   2.4800      0.998001  0.988024
   2.5000      0.998105  0.988127
   2.5200      0.998218  0.988239
   2.5400      0.998342  0.988361
   2.5600      0.998393  0.988412
   2.5800      0.998533  0.988550
   2.6000      0.998675  0.988692
   2.6200      0.998820  0.988835
   2.6400      0.998966  0.988980
   2.6600      0.999112  0.989124
   2.6800      0.999348  0.989358
   2.7000      0.999473  0.989481
   2.7200      0.999593  0.989600
   2.7400      0.999708  0.989714
   2.7600      0.999818  0.989822
   2.7800      0.999920  0.989924
   2.8000      0.999994  0.989997
   2.8200      1.000087  0.990090
   2.8400      1.000170  0.990171
   2.8600      1.000245  0.990245
   2.8800      1.000311  0.990311
   2.9000      1.000369  0.990369
   2.9200      1.000419  0.990418
   2.9400      1.000454  0.990453
   2.9600      1.000484  0.990483
   2.9800      1.000509  0.990507
   3.0000      1.000526  0.990524
   3.0200      1.000539  0.990537
   3.0400      1.000546  0.990543
   3.0600      1.000561  0.990559
   3.0800      1.000559  0.990556
   3.1000      1.000550  0.990548
   3.1200      1.000537  0.990535
   3.1400      1.000521  0.990519
   3.1600      1.000501  0.990499
   3.1800      1.000478  0.990476
   3.2000      1.000424  0.990423
   3.2200      1.000399  0.990398
   3.2400      1.000373  0.990373
   3.2600      1.000346  0.990346
   3.2800      1.000319  0.990319
   3.3000      1.000291  0.990291
   3.3200      1.000276  0.990277
