 ETA_AV=  0.0735711008
   0.0000      0.417834  0.594737
   0.0200      0.446853  0.636042
   0.0400      0.473680  0.674228
   0.0600      0.499634  0.711170
   0.0800      0.529490  0.753666
   0.1000      0.547279  0.778987
   0.1200      0.568564  0.809284
   0.1400      0.589965  0.839745
   0.1600      0.617247  0.878578
   0.1800      0.640105  0.911114
   0.2000      0.656101  0.933882
   0.2200      0.677308  0.964068
   0.2400      0.705289  1.003896
   0.2600      0.722104  1.027829
   0.2800      0.750383  1.068082
   0.3000      0.770277  1.096398
   0.3200      0.797029  1.134477
   0.3400      0.834552  1.187886
   0.3600      0.867250  1.234428
   0.3800      0.876922  1.248194
   0.4000      0.880784  1.253692
   0.4200      0.878772  1.250828
   0.4400      0.875103  1.245606
   0.4600      0.858707  1.222268
   0.4800      0.847792  1.206732
   0.5000      0.843939  1.201248
   0.5200      0.834354  1.187604
   0.5400      0.817761  1.163987
   0.5600      0.812040  1.155843
   0.5800      0.803878  1.144225
   0.6000      0.789736  1.124096
   0.6200      0.783583  1.115338
   0.6400      0.779997  1.110233
   0.6600      0.768080  1.093271
   0.6800      0.764099  1.087605
   0.7000      0.762503  1.085333
   0.7200      0.754168  1.073469
   0.7400      0.751198  1.069242
   0.7600      0.748143  1.064892
   0.7800      0.739602  1.052735
   0.8000      0.729437  1.038268
   0.8200      0.723828  1.030283
   0.8400      0.717390  1.021120
   0.8600      0.709829  1.010358
   0.8800      0.705594  1.004330
   0.9000      0.701162  0.998022
   0.9200      0.695932  0.990577
   0.9400      0.692821  0.986149
   0.9600      0.690080  0.982247
   0.9800      0.687480  0.978547
   1.0000      0.685522  0.975759
   1.0200      0.683782  0.973282
   1.0400      0.682375  0.971280
   1.0600      0.681247  0.969674
   1.0800      0.681237  0.969660
   1.1000      0.680822  0.969070
   1.1200      0.680671  0.968855
   1.1400      0.680371  0.968427
   1.1600      0.680672  0.968857
   1.1800      0.680704  0.968902
   1.2000      0.682091  0.970876
   1.2200      0.682437  0.971369
   1.2400      0.682905  0.972034
   1.2600      0.683519  0.972909
   1.2800      0.683713  0.973184
   1.3000      0.684616  0.974470
   1.3200      0.685631  0.975914
   1.3400      0.687810  0.979016
   1.3600      0.688761  0.980370
   1.3800      0.689720  0.981734
   1.4000      0.690300  0.982560
   1.4200      0.691322  0.984015
   1.4400      0.692364  0.985498
   1.4600      0.693964  0.987776
   1.4800      0.694843  0.989027
   1.5000      0.695684  0.990224
   1.5200      0.696285  0.991080
   1.5400      0.697092  0.992228
   1.5600      0.697851  0.993309
   1.5800      0.698575  0.994339
   1.6000      0.699417  0.995538
   1.6200      0.699973  0.996328
   1.6400      0.700492  0.997067
   1.6600      0.700929  0.997690
   1.6800      0.701373  0.998322
   1.7000      0.701771  0.998888
   1.7200      0.702093  0.999347
   1.7400      0.702371  0.999742
   1.7600      0.702586  1.000048
   1.7800      0.702807  1.000363
   1.8000      0.702950  1.000567
   1.8200      0.703049  1.000707
   1.8400      0.702955  1.000573
   1.8600      0.702978  1.000606
   1.8800      0.702969  1.000594
   1.9000      0.702936  1.000547
   1.9200      0.702968  1.000592
   1.9400      0.702893  1.000486
   1.9600      0.702799  1.000351
   1.9800      0.702537  0.999978
   2.0000      0.702428  0.999824
   2.0200      0.702306  0.999649
   2.0400      0.702249  0.999569
   2.0600      0.702111  0.999371
   2.0800      0.701966  0.999166
   2.1000      0.701816  0.998952
   2.1200      0.701664  0.998736
   2.1400      0.701513  0.998521
   2.1600      0.701252  0.998150
   2.1800      0.701118  0.997959
   2.2000      0.700992  0.997779
   2.2200      0.700871  0.997607
   2.2400      0.700755  0.997442
   2.2600      0.700648  0.997290
   2.2800      0.700545  0.997143
   2.3000      0.700467  0.997032
   2.3200      0.700375  0.996901
   2.3400      0.700289  0.996779
   2.3600      0.700210  0.996667
   2.3800      0.700139  0.996565
   2.4000      0.700079  0.996479
   2.4200      0.700023  0.996400
   2.4400      0.699981  0.996340
   2.4600      0.699946  0.996291
   2.4800      0.699917  0.996250
   2.5000      0.699894  0.996216
   2.5200      0.699875  0.996189
   2.5400      0.699861  0.996169
   2.5600      0.699841  0.996142
   2.5800      0.699838  0.996137
   2.6000      0.699839  0.996138
   2.6200      0.699843  0.996144
   2.6400      0.699852  0.996156
   2.6600      0.699863  0.996173
   2.6800      0.699899  0.996224
   2.7000      0.699914  0.996245
   2.7200      0.699930  0.996268
   2.7400      0.699948  0.996293
   2.7600      0.699966  0.996318
   2.7800      0.699985  0.996346
   2.8000      0.699995  0.996360
   2.8200      0.700016  0.996389
   2.8400      0.700036  0.996419
   2.8600      0.700057  0.996448
   2.8800      0.700077  0.996477
   2.9000      0.700097  0.996506
   2.9200      0.700117  0.996533
   2.9400      0.700144  0.996573
   2.9600      0.700161  0.996596
   2.9800      0.700176  0.996618
   3.0000      0.700191  0.996639
   3.0200      0.700205  0.996659
   3.0400      0.700218  0.996677
   3.0600      0.700228  0.996691
   3.0800      0.700239  0.996707
   3.1000      0.700248  0.996721
   3.1200      0.700257  0.996733
   3.1400      0.700265  0.996744
   3.1600      0.700271  0.996753
   3.1800      0.700276  0.996761
   3.2000      0.700280  0.996765
   3.2200      0.700283  0.996770
   3.2400      0.700286  0.996774
   3.2600      0.700288  0.996777
   3.2800      0.700289  0.996778
   3.3000      0.700290  0.996779
   3.3200      0.700291  0.996782
   3.3400      0.700291  0.996782
   3.3600      0.700290  0.996780
   3.3800      0.700289  0.996778
   3.4000      0.700287  0.996776
   3.4200      0.700285  0.996773
   3.4400      0.700280  0.996765
   3.4600      0.700278  0.996762
   3.4800      0.700275  0.996759
   3.5000      0.700272  0.996755
   3.5200      0.700269  0.996751
   3.5400      0.700266  0.996746
   3.5600      0.700264  0.996742
   3.5800      0.700262  0.996740
   3.6000      0.700260  0.996737
   3.6200      0.700257  0.996733
   3.6400      0.700254  0.996729
   3.6600      0.700252  0.996725
   3.6800      0.700249  0.996722
   3.7000      0.700246  0.996717
   3.7200      0.700244  0.996714
   3.7400      0.700242  0.996711
   3.7600      0.700240  0.996709
   3.7800      0.700238  0.996706
   3.8000      0.700237  0.996704
   3.8200      0.700235  0.996702
   3.8400      0.700234  0.996700
   3.8600      0.700233  0.996699
   3.8800      0.700232  0.996697
