 ETA_AV=  8.47117117E-05
   0.0000      0.129517 16.053598  0.000325
   0.0250      0.027635  3.425330  0.000069
   0.0500      0.028293  3.506958  0.000071
   0.0750      0.029395  3.643554  0.000074
   0.1000      0.029395  3.643484  0.000074
   0.1250      0.029818  3.695934  0.000075
   0.1500      0.029657  3.676024  0.000074
   0.1750      0.030818  3.819942  0.000077
   0.2000      0.031487  3.902802  0.000079
   0.2250      0.031049  3.848457  0.000078
   0.2500      0.031307  3.880518  0.000078
   0.2750      0.032880  4.075470  0.000082
   0.3000      0.033227  4.118479  0.000083
   0.3250      0.032877  4.075090  0.000082
   0.3500      0.033027  4.093733  0.000083
   0.3750      0.033718  4.179298  0.000085
   0.4000      0.034713  4.302649  0.000087
   0.4250      0.035523  4.403049  0.000089
   0.4500      0.034779  4.310877  0.000087
   0.4750      0.035507  4.401075  0.000089
   0.5000      0.035486  4.398518  0.000089
   0.5250      0.035315  4.377273  0.000089
   0.5500      0.035971  4.458620  0.000090
   0.5750      0.037862  4.693007  0.000095
   0.6000      0.038540  4.777063  0.000097
   0.6250      0.038811  4.810616  0.000097
   0.6500      0.038483  4.769970  0.000096
   0.6750      0.037648  4.666437  0.000094
   0.7000      0.038812  4.810713  0.000097
   0.7250      0.039125  4.849567  0.000098
   0.7500      0.040633  5.036407  0.000102
   0.7750      0.040404  5.008083  0.000101
   0.8000      0.039925  4.948703  0.000100
   0.8250      0.040497  5.019583  0.000102
   0.8500      0.041354  5.125860  0.000104
   0.8750      0.041170  5.103044  0.000103
   0.9000      0.041730  5.172436  0.000105
   0.9250      0.042207  5.231579  0.000106
   0.9500      0.042635  5.284657  0.000107
   0.9750      0.043119  5.344580  0.000108
   1.0000      0.040200  4.982741  0.000101
   1.0250      0.039264  4.866783  0.000098
   1.0500      0.038794  4.808461  0.000097
   1.0750      0.039647  4.914224  0.000099
   1.1000      0.039279  4.868667  0.000098
   1.1250      0.038930  4.825357  0.000098
   1.1500      0.039287  4.869569  0.000098
   1.1750      0.037685  4.671049  0.000094
   1.2000      0.038894  4.820934  0.000097
   1.2250      0.038553  4.778630  0.000097
   1.2500      0.037888  4.696157  0.000095
   1.2750      0.037015  4.587971  0.000093
   1.3000      0.037996  4.709606  0.000095
   1.3250      0.037391  4.634645  0.000094
   1.3500      0.037166  4.606739  0.000093
   1.3750      0.036670  4.545267  0.000092
   1.4000      0.036151  4.480929  0.000091
   1.4250      0.035221  4.365666  0.000088
   1.4500      0.035760  4.432492  0.000090
   1.4750      0.034711  4.302431  0.000087
   1.5000      0.035230  4.366798  0.000088
   1.5250      0.034665  4.296713  0.000087
   1.5500      0.035807  4.438280  0.000090
   1.5750      0.035112  4.352122  0.000088
   1.6000      0.033991  4.213191  0.000085
   1.6250      0.033899  4.201764  0.000085
   1.6500      0.034344  4.256941  0.000086
   1.6750      0.033287  4.125928  0.000083
   1.7000      0.033070  4.098993  0.000083
   1.7250      0.032022  3.969177  0.000080
   1.7500      0.031601  3.916888  0.000079
   1.7750      0.032875  4.074894  0.000082
   1.8000      0.030721  3.807909  0.000077
   1.8250      0.031391  3.890855  0.000079
   1.8500      0.031056  3.849369  0.000078
   1.8750      0.030821  3.820313  0.000077
   1.9000      0.030891  3.828922  0.000077
   1.9250      0.030925  3.833098  0.000078
   1.9500      0.031209  3.868334  0.000078
   1.9750      0.030165  3.738941  0.000076
   2.0000      0.030509  3.781541  0.000076
   2.0250      0.030038  3.723246  0.000075
   2.0500      0.029458  3.651349  0.000074
   2.0750      0.028878  3.579447  0.000072
   2.1000      0.029223  3.622135  0.000073
   2.1250      0.028715  3.559236  0.000072
   2.1500      0.027732  3.437317  0.000070
   2.1750      0.028010  3.471803  0.000070
   2.2000      0.027911  3.459565  0.000070
   2.2250      0.027727  3.436789  0.000070
